"No.","Time","Source","Destination","Protocol","Length","Info"
"136","0.080696","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=0, ID=2012) [Reassembled in #180]"
"137","0.080697","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=1480, ID=2012) [Reassembled in #180]"
"138","0.080698","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=2960, ID=2012) [Reassembled in #180]"
"139","0.080698","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=4440, ID=2012) [Reassembled in #180]"
"140","0.080698","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=5920, ID=2012) [Reassembled in #180]"
"141","0.080699","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=7400, ID=2012) [Reassembled in #180]"
"142","0.080699","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=8880, ID=2012) [Reassembled in #180]"
"143","0.080699","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=10360, ID=2012) [Reassembled in #180]"
"144","0.080700","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=11840, ID=2012) [Reassembled in #180]"
"145","0.080700","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=13320, ID=2012) [Reassembled in #180]"
"146","0.080701","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=14800, ID=2012) [Reassembled in #180]"
"147","0.080701","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=16280, ID=2012) [Reassembled in #180]"
"148","0.080701","192.168.100.14","192.168.100.25","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=17760, ID=2012) [Reassembled in #180]"
